fsd_no;fsd_vr;fsd_id;syvu;ika;ika5;sukup;tyvo;lammas;sose;lisco_1;ltytyy;toimi2;toimi;tysuhpy;taikao;tsuhaika;vuokraty;vuoro;saanai;ylipa;ylipato;ylitunn;ylipatot;ylitu;pylitu;sivutyo;sivutunn;svuokra;k2;k3;k5_9;k41a;k41a_1;k41b;k41b_1;k41c;k41c_1;k21c_1;k21c_4;k21c_5;k21c_6;k26_1;k26_2;k26_3;k20b_1;k20b_2;k20b_3;k20b_5;k20b_7;k32a;k33_1;k33_2;k33_3;k33_4;k33_5;k33_7;k33_6;k33_8;k9a_07;k9a_07c;k9a_07b;k9a_09b;k9a_10b;k13_1;k13_2;k22_6;k22_8;k22_10;k20a_02;k20a_09;k21b_1;k21b_2;k52a;k52b;k52c;k53;k21b_4;k46a;k46b;k47;k48;k11a_1;k11a_2;k11a_3;k11a_4;k42e;k42a;k43a;k43e;k43g;k21c_8;k21c_9;k28a;k28b;k32;k55;k56a;k56b;k56c;k56d;k57a;k57b;k57c;k22_1;k22_2;k23;k24;k25_1;k25_4;k25_6;k25_7;k25_8;k25_9;k40;tb_paino
3493;1;1389;1977;42;6;2;1;1; ;3;2; ;4; ;1; ;2;2;39;1;2;1;0;4,4;0;2; ; ;4;2;1;2; ;2; ;1;2;1;2;2;1;3;2;2;3;2;3;3;2;2;2;2;2;2;2;2; ;2;2;1;2;3;1;1; ;1;2;1;1;4;1;1;1;1;1;1;1;1;2;2;1;3;4;4;3;2;1;5;5;2;2;2;1;3;3;4;4;3;4;2;3;4;2;4;4;1;2;3;2;2;3;3;1;2;,957443360516537
3493;1;1390;1958;61;10;2;1;1; ;4;3; ;2; ;1; ;2;2;38;1;2;2;0;8,8;0;2; ; ;5;3;1;2; ;1;2;2; ;1;2;2;3;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2; ;2;1;1;1;1;1;1; ;1;1;1;2;3;2; ;2;2;2;2;3;2;2;2;2;4;1;3;4;2;4;5;5;5;2;2;3;1;8;3;3;3;1;3;3;3;5;5;5;3;4;4;3;3;3;5;6;2;,649342767348524
3493;1;1391;1972;47;7;2;1;1; ;3;2; ;4; ;1; ;2;2;38;2;2;0;0;0;0;2; ; ;3;1;2;1;2;1;2;1;2;3;2;1;1;2;2;2;3;2;1;2;2;1;2;2;2;2;2;2;2;2;1;1;2;3;3;1; ;1;2;1;1;4;1;3;2;2;2;2;1;1;1;1;1;3;3;3;3;2;1;5;5;5;3;2;2;2;12;2;2;2;2;1;4;4;4;3;3;1;2;2;2;2;2;1;8;2;,91872243274069
3493;1;1392;1966;53;8;2;1;1; ;3;3; ;2; ;1; ;2;2;50;2;2;0;0;0;0;2; ; ;3;3;2;1;3;1;2;2; ;2;1;2;3;3;2;1;2;1;2;2;3;2;2;2;2;2;2;2; ;2;1;1;1;1;1;1; ;2; ;1;1;3;1;5;1;1;1;2;1;1;2;2;1;3;3;1;1;1;1;4;4;2;4;1;2;2;0;3;4;3;4;3;3;4;3;4;4;4;3;4;3;2;2;1;10;1;1,02614886986928
3493;1;1393;1963;56;9;2;1;1; ;3;3; ;2; ;1; ;2;2;39;2;2;0;0;0;0;2; ; ;3;2;2;2; ;2; ;2; ;2;3;4;4;3;2;3;3;2;4;3;4;2;2;2;1;2;1;1; ;3;1;2;1;1;1;1; ;1;2;2;1;4;2; ;1;1;2;1;3;2;2;1;2;3;3;3;4;1;1;5;4;4;2;1;3;3;10;4;4;4;3;2;4;4;4;2;3;1;1;4;4;2;4;4;6;2;,91973896751354
3493;1;1394;1987;32;4;2;1;1; ;3;3; ;2; ;1; ;2;2;38;2;2;0;0;0;0;2; ; ;3;2;2;1;3;2; ;1;3;2;2;1;2;2;2;2;2;2;1;2;3;2;2;2;2;2;2;2; ;2;2;1;1;1;1;1; ;1;1;3;1;2;1;5;2;1;1;1;1;1;2;2;1;3;3;3;3;2;3;4;4;4;3;3;1;1;0;1;1;2;2;1;4;4;4;3;3;3;2;3;2;2;3;3;6;2;1,24562986836529
3493;1;1395;1966;53;8;2;1;1; ;9;3; ;2; ;2; ;2;2;15;2;2;0;0;0;0;2; ; ;7;3;2;1;2;1;3;1;3;2;3;4;4;2;1;1;2;2;2;1;4;1;2;2;2;2;1;1;1;2;3;1;1;1;1;1; ;2; ;3;2;3;1;1;2;2;1;2;3;1;1;2;1;4;3;4;4;2;2;5;5;5;2;2;2;4;15;4;4;2;2;2;2;4;4;4;4;1;2;4;3;3;3;4;7;2;1,01585836682452
3493;1;1396;1970;49;7;2;1;1; ;3;3; ;2; ;1; ;2;2;38;2;2;0;0;0;0;2; ; ;4;3;2;2; ;1;3;1;3;1;1;2;2;2;2;2;2;3;2;2;3;1;2;2;2;2;2;2;2;2;1;1;1;1;3;1; ;1;1;2;1;2;2; ;1;2;1;1;1;1;2;2;1;2;2;2;3;2;4;5;4;4;4;2;1;1;5;2;2;2;2;2;4;4;4;3;3;2;4;3;2;3;3;3;7;1;1,06011702183092
3493;1;1397;1960;59;9;2;1;1; ;5;3; ;2; ;1; ;2;1;39;2;2;0;0;0;0;2; ; ;4;2;2;2; ;2; ;2; ;1;2;1;2;4;2;4;1;3;1;3;3;2;2;2;2;2;2;2; ;3;2;1;3;3;1;1; ;1;1;3;1;3;1;1;2;2;1;2;1;1;1;2;1;4;4;4;4;2;1;5;3;4;1;1;2;2;0;3;3;2;4;2;4;4;3;3;3;1;3;4;3;3;4;3;5;2;,91973896751354
3493;1;1398;1987;32;4;2;1;1; ;5;2; ;4; ;1; ;2;2;39;2;2;0;0;0;0;2; ; ;2;2;2;2; ;2; ;1;3;5;1;1;1;2;2;1;1;1;2;1;2;1;2;2;2;2;2;2;2;2;1;1;2;1;1;1; ;2; ;2;1;2;1;2;2;2;2;2;1;1;2;2;2;4;3;3;4;2;4;5;4;5;3;3;1;1;8;2;1;1;2;1;5;5;4;4;4;1;3;3;2;2;3;2;9;2;1,29963782371275
