fsd_no;fsd_vr;fsd_id;tb_paino;Syvu;ika;ika5;sukup;tyvo;lammas;sose;lisco_1;ltytyy;toimi2;toimi;tysuhpy;taikao;tsuhaika;vuokraty;vuoro;saanai;ylipa;ylipato;ylitunn;ylipatot;ylitu;pylitu;sivutyo;sivutunn;svuokra;K2;K3;K5_9;K41a;K41A_1;K41B;K41B_1;K41C;K41C_1;K21C_1;K21C_4;K21C_5;K21C_6;K26_1;K26_2;K26_3;K20B_1;K20B_2;K20B_3;K20B_5;K20B_6;K20B_7;K32A;K33_1;K33_2;K33_3;K33_4;K33_5;K33_7;K33_6;K33_8;K9A_07;K9A_07c;K9A_07B;K9A_09b;K9A_10b;K13_1;K13_2;K22_6;K22_8;K22_10;K20a_02;K20a_09;K21B_1;K21B_2;K51A;K51B;K51C;K51D;K51E;K51F;K51G;K51H;K51I;K51J;K51K;K51K_muu;K52a;K52b;K52c;K21B_30;K53;K21B_4;K46a;K46b;K47;K47_1;K47_2;K47_4;K47_5;K47_6;K47_7;K48;K50;K11A_1;K11A_2;K11A_3;K11A_4;K42E;K42A;K43A;K43E;K43G;K21C_8;K21C_9;K28A;K28B;K32;K22_1;K22_2;K22_3;K23;K24;K25_1;K25_4;K25_6;K25_7;K25_8;K25_9;K54a;K54b;K54c;K40
3482;1;919;1,13172644953782;1985;33;4;2;1;1;1;2;3; ;1;1;1;8;2;2;38;2;2;0;0;0;0;2; ; ;11;2;1;1;2;1;3;1;3;2;2;2;2;3;3;2;2;2;2;2;2;3;1;2;2;2;2;2;2;2;2;1;1;1;3;3;2;1;1;1;1;1;2;1;10;2;2;1;2;1;1;2;2;2;2;2; ;2;1;1;2;1;2;1;2;1;1;1;1;2;1;2;1;3;3;3;3;3;2;2;2;2;2;4;2;1;1;2;4;4;3;2;3;3;3;2;2;3;8;1;1;2;2
3482;1;920;1,25167303130042;1990;28;3;2;1;1;2;4;3; ;2;1;1;2;2;2;38;2;2;0;0;0;0;2; ; ;4;2;1;2; ;1;3;2; ;2;3;1;1;2;1;3;2;2;2;2;3;3;2;2;2;2;2;2;2; ;2;2;1;1;1;1;2;1;1;1;2;2;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;1;2;2;2;2;1;2;2; ; ; ; ; ; ;1;3;3;1;2;3;1;2;4;4;4;4;3;1;1;5;4;4;2;2;3;3;2;2;3;2;7;2;1;3;2
3482;1;921;,844412925351389;1965;53;8;2;1;1;1;2;3; ;2;1;1;8;2;2;45;2;2;0;0;0;0;2; ; ;5;1;2;1;1;2; ;2; ;1;2;3;1;3;1;2;2;1;2;1;2;4;2;2;2;2;2;2;2; ;2;1;1;2;1;1;2;1;1;1;2;1;3;1;3;2;2;2;2;1;2;1;2;2;2;2; ;2;1;1;2;2;1;1;2;2; ; ; ; ; ; ;1;3;3;3;3;3;1;1;4;4;4;4;1;3;3;13;4;4;4;2;3;4;3;3;4;3;9;4;1;3;1
3482;1;922;,844412925351389;1965;53;8;2;1;1;1;2;2; ;4;1;1;15;2;2;38;2;2;0;0;0;0;2; ; ;3;2;2;1;2;2; ;2; ;5;3;2;1;3;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;3;2;1;1;2;2;3;1; ;2; ;2;1;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;3;2;2;2; ; ; ; ; ; ;2;3;3;3;3;3;2;2;5;4;5;5;1;2;2;0;3;3;4;1;3;3;3;3;3;4;7;3;2;3;2
3482;1;923;,964359507113992;1973;45;7;2;1;1;2;3;1; ;3;1;1;22;2;2;39;2;2;0;0;0;0;2; ; ;5;2;2;2; ;2; ;2; ;2;2;2;1;1;1;1;2;1;2;1;2;1;2;2;2;2;2;2;2; ;2;2;2;1;1;1;1; ;2; ;1;1;2;1;7;1;2;2;2;2;2;2;2;1;1;2; ;1;2;1;2;2;2;1;2;2; ; ; ; ; ; ;1;3;3;2;3;4;2;4;5;4;5;4;3;2;1;6;4;4;4;1;3;3;2;2;3;3;9;1;2;3;2
3482;1;924;,961847590216196;1966;52;8;2;1;1;2;5;3; ;2;1;2;5;2;1;30;2;2;0;0;0;0;2; ; ;1;2;2;2; ;2; ;2; ;3;2;2;5;4;3;3;2;3;3;3;3;2;1;2;2;2;2;2;2;2;2;1;2;2;1;1;2;1;2; ;3;2;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;2;1;1;2;2;2;1;1;2;3;4;4;3;4;2;4;5;4;5;2;2;2;2;0;3;3;3;3;3;3;2;3;3;2;7;5;4;4;2
3482;1;925;,933635612708959;1962;56;9;2;1;1;2;3;3; ;2;1;1;18;2;2;38;2;2;0;0;0;0;2; ; ;3;1;1;1;2;1;1;1;2;4;2;2;2;2;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2; ;2;2;1;1;1;1;1; ;1;1;2;3;2;1;5;2;2;2;2;2;2;1;2;1;2;2; ;2;1;1;2;2;2;1;2;2; ; ; ; ; ; ;1;2;3;1;3;3;2;4;5;4;5;4;3;1;2;10;4;4;4;2;4;9;9;2;3;3;99;4;1;3;2
3482;1;926;,884458172936512;1962;56;9;2;1;1;1;1;2; ;4;1;1;3;2;2;43;2;1;0;4;0;18,4;2; ; ;9;1;2;1;3;2; ;1;2;3;2;2;5;2;1;1;2;2;2;2;5;3;1;2;2;2;2;2;2;2;2;2;2;2;3;1;1; ;1;1;2;1;3;1;8;1;2;1;2;1;1;2;2;1;2;1;auditointi/ laatuj?rjestelm??n liittyv?;2;1;1;2;1;1;1;1;2; ; ; ; ; ; ;1;3;3;3;3;3;1;2;4;2;2;4;2;1;2;0;3;3;3;2;3;3;3;3;3;4;8;1;1;2;1
3482;1;927;,896313144448304;1980;38;5;2;1;1;1;2;3; ;1;1;1;2;2;2;40;2;2;0;0;0;0;2; ; ;7;2;1;1;2;1;3;2; ;2;2;3;1;3;2;2;3;1;2;3;3;2;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1; ;1;1;1;1;2;1;4;2;2;2;2;1;2;1;2;1;2;2; ;1;1;2;2;2;1;1;1;2; ; ; ; ; ; ;2;3;2;3;1;3;2;2;3;2;3;4;2;1;2;5;4;3;4;1;3;3;2;2;3;2;7;1;1;2;1
3482;1;928;,965190729891244;1962;56;9;2;1;1;3;6;2; ;9;1;2;7;2;1;38;2;2;0;0;0;0;2; ; ;99;3;3;3; ;3; ;3; ;1;4;4;2;3;4;3;3;2;3;4;1;5;1;3;3;2;2;3;3;2;3;2;2;2;1;1;2;2;2; ;2;1;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;3;1;2;2; ; ; ; ; ; ;2;3;4;3;4;3;2;3;5;3;3;1;1;5;5;100;2;3;3;3;4;3;3;3;3;3;6;5;5;2;2
3482;1;929;,961847590216196;1971;47;7;2;1;1;2;3;3; ;1;1;1;19;2;1;39;2;2;0;0;0;0;2; ; ;6;2;2;1;3;1;2;1;1;2;3;3;1;3;1;3;2;2;2;2;2;3;2;2;2;2;2;2;2; ;2;1;1;1;1;1;1; ;2; ;1;1;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;2;2;1;2;2; ; ; ; ; ; ;1;3;3;4;4;2;2;1;5;4;5;4;2;1;1;0;4;4;4;3;2;4;2;2;2;3;9;2;2;1;2
3482;1;930;,933635612708959;1958;60;10;2;1;1;2;3;1; ;3;1;1;36;2;2;38;1;2;4;0;18,4;0;2; ; ;6;3;2;1;3;1;3;1;1;2;3;3;1;2;2;2;2;2;2;1;2;4;2;1;1;1;3;2;3; ;2;2;1;1;1;1;2;1;1;1;1;1;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ;2;2;4;2;3;3;2;4;5;5;5;4;3;1;2;6;4;4;4;3;4;2;2;1;2;4;8;2;5;4;2
3482;1;931;1,01625972621091;1981;37;5;2;1;1;2;5;3; ;2;1;1;8;2;1;38;2;2;0;0;0;0;2; ; ;6;3;1;1;1;2; ;1;2;1;3;3;1;3;2;2;3;2;3;3;2;4;1;2;2;1;2;2;2;2;1;1;2;3;3;3;1; ;1;2;3;1;3;1;1;2;2;2;2;2;1;2;2;1;2;2; ;2;2;1;2;2;3;1;1;2; ; ; ; ; ; ;1;3;2;3;3;4;1;1;5;1;2;3;2;2;2;15;4;4;3;2;2;3;2;3;3;2;8;1;1;1;2
3482;1;932;1,03261673220635;1971;47;7;2;1;1;2;5;2; ;4;1;1;12;2;2;38;2;2;0;0;0;0;2; ; ;8;3;2;1;2;1;2;2; ;2;3;3;3;3;3;3;3;2;3;2;1;3;1;1;1;2;2;1;1;1;1;2;2;2;3;3;2;1;1;2;3;1;4;1;4;2;2;2;2;2;2;1;2;1;1;2; ;2;2;2;2;2;3;1;1;1;1;2;1;2;2;1;2;3;3;4;3;3;2;1;5;5;5;2;2;2;2;8;2;4;2;2;2;4;4;4;4;4;4;1;2;3;2
3482;1;933;,961847590216196;1969;49;7;2;1;1;2;3;2; ;4;1;1;17;2;2;39;2;2;0;0;0;0;2; ; ;4;2;2;1;1;2; ;1;3;1;3;3;1;3;2;2;3;1;2;2;1;4;2;2;2;2;2;2;2; ;2;2;2;2;3;1;1; ;2; ;2;1;3;1;4;2;2;2;2;2;2;1;2;1;2;2; ;2;1;1;1;2;2;1;1;2; ; ; ; ; ; ;1;3;3;4;3;4;2;1;5;4;5;2;2;2;2;36;4;4;2;2;3;3;2;2;2;3;7;1;2;3;2
